distance,generated_time,instantaneous_speed,latitude,longitude
0,"2014-01-08 16:13:01",0,-36.8527,174.768
0,"2014-01-08 16:13:03",0,-36.8528,174.768
0,"2014-01-08 16:13:10",0,-36.8528,174.768
0,"2014-01-08 16:13:19",0,-36.8528,174.768
0,"2014-01-08 16:13:32",0,-36.8528,174.768
61.371,"2014-01-08 16:13:46",0,-36.8523,174.768
61.371,"2014-01-08 16:13:53",0,-36.8523,174.768
61.371,"2014-01-08 16:13:58",0,-36.8523,174.768
61.371,"2014-01-08 16:14:04",0,-36.8523,174.768
61.371,"2014-01-08 16:14:07",0,-36.8524,174.769
61.371,"2014-01-08 16:14:08",15.8316,-36.8525,174.768
61.371,"2014-01-08 16:14:09",11.7556,-36.8525,174.768
61.371,"2014-01-08 16:14:11",6.72086,-36.8526,174.768
61.371,"2014-01-08 16:14:12",5.25483,-36.8526,174.768
61.371,"2014-01-08 16:14:13",4.12899,-36.8526,174.768
61.371,"2014-01-08 16:14:15",3.21815,-36.8526,174.768
61.371,"2014-01-08 16:14:16",1.10899,-36.8526,174.768
61.371,"2014-01-08 16:14:17",0.995042,-36.8526,174.769
61.371,"2014-01-08 16:14:19",1.69911,-36.8526,174.769
61.371,"2014-01-08 16:14:20",1.91833,-36.8526,174.769
61.371,"2014-01-08 16:14:21",1.92065,-36.8526,174.769
61.371,"2014-01-08 16:14:23",1.61555,-36.8526,174.769
61.371,"2014-01-08 16:14:24",1.48571,-36.8526,174.769
102.325,"2014-01-08 16:14:25",1.39201,-36.8526,174.769
102.325,"2014-01-08 16:14:27",1.3644,-36.8526,174.769
102.325,"2014-01-08 16:14:28",1.23514,-36.8526,174.769
102.325,"2014-01-08 16:14:29",1.20384,-36.8527,174.769
102.325,"2014-01-08 16:14:31",1.20973,-36.8527,174.769
102.325,"2014-01-08 16:14:33",1.1307,-36.8527,174.769
102.325,"2014-01-08 16:14:34",1.13253,-36.8527,174.769
113.817,"2014-01-08 16:14:35",1.18593,-36.8527,174.769
113.817,"2014-01-08 16:14:36",1.27412,-36.8527,174.769
113.817,"2014-01-08 16:14:37",1.37141,-36.8527,174.769
113.817,"2014-01-08 16:14:39",1.36209,-36.8528,174.769
120.886,"2014-01-08 16:14:40",1.34384,-36.8528,174.769
120.886,"2014-01-08 16:14:42",1.24223,-36.8528,174.769
120.886,"2014-01-08 16:14:43",1.15356,-36.8528,174.769
120.886,"2014-01-08 16:14:44",1.05744,-36.8528,174.769
120.886,"2014-01-08 16:14:45",0.943661,-36.8528,174.769
120.886,"2014-01-08 16:14:47",0.480182,-36.8528,174.769
120.886,"2014-01-08 16:14:48",0.136637,-36.8528,174.769
120.886,"2014-01-08 16:14:50",0.33466,-36.8528,174.769
